,name,wm_ID,rating,num_of_rating,price,brand,connection,type,battery,microphone,noise,water,weight,driver,impedance,frequency response,sensitivity,UPC,model number,manufacturerID,RecommendedUse,HeadphoneStyle,Wireless,CompatibleDevices,HeadphoneType,WirelessTechnology
307,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
308,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
309,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
310,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
311,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
312,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
313,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
314,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
315,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
316,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
317,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
318,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
319,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
320,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
321,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
322,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
323,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
324,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
325,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
326,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
327,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
328,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
329,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
330,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
331,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
332,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
333,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
334,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
335,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
336,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
337,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
338,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
339,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
340,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
341,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
342,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
343,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
344,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
345,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
346,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
347,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
348,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
349,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
350,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
351,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
352,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
353,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
354,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
355,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
356,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
357,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
358,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
359,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
360,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
361,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
362,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
363,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
364,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
365,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
366,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
367,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
368,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
369,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
370,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
371,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
372,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
373,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
374,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
375,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
376,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
377,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
378,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
379,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
380,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
381,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
382,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
383,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
384,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
385,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
386,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
387,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
388,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
389,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
390,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
391,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
392,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
393,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
394,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
395,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
396,Beats Studio3 Wireless Over-Ear Noise Cancelling Headphones - Matte Black,Walmart #  571298612,4.1,127 ratings,$229.99 ,,wireless,on ear,,mic,noise canceling,0,,,,,,,,,Portableelectronics,On-Ear&Over-Ear|DJ,Y,iPhone|MacBook|iPad|AppleWatch|AppleTV|iPodTouch,WirelessHeadphones,Bluetooth
397,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
398,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
399,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
400,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
401,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
402,"Bluetooth 5.0 True Wireless Earbuds Headphones w/ Charging Case, One-Step Pairing, IP67 Waterproof, 20Hrs Playtime In-Ear Headset Earphone Hands-free Earpiece Built-in Mic for iPhone/Android Black",Walmart #  586219737,4.6,86 ratings,$28.99 ,,wireless,,,mic,0,waterproof,lightweight,,,,,,,,,,Y,,,Bluetooth
403,"Bose QuietComfort Noise Cancelling Earbuds – True Wireless Headphones, Black",Walmart #  585374518,3.7,10 ratings,$279.00 ,,wireless,,,mic,noise cancelling,0,,,,,,,,,Portableelectronics,In-Ear,Y,Bluetooth,Noise-CancelingHeadphones|Earbuds|WirelessHeadphones|In-earHeadphones,Bluetooth
404,Bose Noise Cancelling Wireless Headphones 700 with Google Assistant,Walmart #  575563048,4.7,235 ratings,$379.00 ,,wireless,,,mic,noise cancelling,0,lightweight,,,,,,,,,Over-Ear,Y,Bluetooth,On-Ear&Over-Ear,Bluetooth
405,Walkers Razor Flat Dark Earth American Flag,,4.4,7 ratings,$47.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,N,,On-Ear&Over-Ear,
406,Apple AirPods Pro,Walmart #  577856461,4.6,2245 ratings,$219.00 ,,wireless,in ear,,0,noise cancellation,water resist,,,,,,,,,1,In-Ear,TrueWireless,1,In-EarHeadphones,Bluetooth
407,"ONIKUMA K10 Gaming Headset,Stereo Bass Surround RGB Noise Cancelling Over Ear Headphones with Mic,for PS4 Xbox One PC Nintendo Switch Tablet Smartphone",,4.8,12 ratings,$35.99 ,,0,,,mic,noise reduction,0,,,,,,,,,,,,,,
